in_a_case_id,in_bool_context,in_bool_shade,in_context_seed,in_room_height,in_room_north,in_room_width,in_shade_hor_depth,in_shade_vert_both_sides,in_shade_vert_depth,in_window_g,in_window_height,in_window_hor_separ,in_window_sill_height,in_window_wwr,ext_wall_area(m2),ext_win_area(m2),volume(m3),org_floor_area(m2),adj_floor_area(m2),w_width(m),w_height(m),w_aspect_ratio,w_count,shade_v_count,shade_h_count,shade_L,shade_R,shade_T,cooling_load(W/m2),peak_date,altitude(deg),azimuth(deg),w_rad_total(kWh),w_rad_april(kWh),w_rad_may(kWh),w_rad_jun(kWh),w_rad_jul(kWh),w_rad_aug(kWh),w_rad_sep(kWh),f_rad_total(kWh),f_rad_april(kWh),f_rad_may(kWh),f_rad_jun(kWh),f_rad_jul(kWh),f_rad_aug(kWh),f_rad_sep(kWh),solar_load(W/m2),solar_load_adj(W/m2)
4019,0,1,62,4.13217392,183.8941226,10.91478161,0.333859763,1,0.412792809,0.309472922,2.930050927,1.409533268,0.530883327,0.718445027,45.101776,32.403147,202.957992,49.116517,28.866517,1.180855,3.430051,0.344268,8,16,8,1.0,1.0,1,47.088016,02 Apr 12:00,43.612426,178.619628,13141.449124,2458.674586,2200.617861,1834.35123,2004.392143,2267.646949,2375.451471,26415.451768,4874.619876,4528.40616,3798.377156,4128.309782,4557.456263,4530.139695,82.901723,141.057679
4020,1,0,41,3.699279382,33.09961123,10.8586955,0.654516422,1,0.242376834,0.496168572,3.472744545,3.960524698,0.444934248,0.843601869,40.169348,33.886937,180.762068,48.86413,28.61413,3.115788,3.625294,0.859458,3,0,0,0.0,0.0,0,50.643849,29 Jun 11:00,59.129269,150.400866,3390.044085,506.800627,646.148704,673.958039,661.075284,526.862213,375.433079,4017.939634,600.775707,765.806129,798.663115,783.412141,624.57424,444.98171,19.279397,32.923278
4021,1,1,23,3.563857976,318.5436523,12.17380347,0.001409724,1,0.513140096,0.257203566,2.827068578,3.299151008,0.759125144,0.492670765,43.385707,21.374869,195.23568,54.782116,34.532116,1.890197,2.827069,0.668607,4,8,4,1.0,1.0,1,19.941098,28 Jun 16:00,37.118351,261.024176,2776.999584,386.430636,558.218809,586.315966,563.366651,417.174456,264.556565,7103.025851,999.717971,1437.792915,1478.693612,1427.111514,1079.183189,678.622165,13.070202,20.734707
4022,0,0,6,3.25345049,172.9511531,18.13961939,0.78225734,0,0.616977881,0.259242464,2.891615709,2.431994731,0.255091437,0.642185493,59.016354,37.899446,265.573591,81.628287,61.378287,1.698105,3.188381,0.532592,7,0,0,0.0,0.0,0,44.613751,02 Apr 11:00,41.733145,158.410916,22105.535727,4070.850107,3780.905717,3217.979925,3505.31928,3810.552607,3722.338634,34422.352871,6339.056419,5887.560147,5010.982018,5458.421834,5933.72574,5796.360368,52.77604,70.187976
4023,1,1,78,3.511401642,139.1164926,11.54551362,0.745328378,0,0.972270903,0.496037512,2.179902737,1.740114359,0.79787222,0.524251632,40.540935,21.253652,182.43421,51.954811,31.704811,1.392831,2.179903,0.638942,7,7,7,0.0,1.0,1,26.300155,06 Sep 09:00,31.733255,124.709403,4866.217004,868.437774,852.180678,766.06325,835.371732,841.88899,704.227238,17743.985047,3071.011279,3140.318702,2881.475104,3086.689977,3005.769724,2562.116766,78.560876,128.738047
4024,1,1,46,4.936600156,147.2608643,7.727180023,0.185781911,1,0.825167981,0.254285568,2.923525958,1.588894596,1.32654157,0.890852059,38.145998,33.982441,171.656991,34.77231,22.434737,7.572636,4.487531,1.687484,1,2,1,1.0,1.0,1,37.061309,05 Sep 10:00,38.871389,140.668716,12960.148802,2324.191277,2208.052477,1957.934211,2127.7142,2205.550767,2139.138699,15702.20007,2815.920158,2679.644223,2371.851872,2574.44523,2672.098608,2590.852327,87.10989,135.014381
4025,1,0,46,3.38008358,234.9921421,16.7712602,0.333742965,1,0.024279971,0.458294261,3.172692897,3.494628747,1.148595507,0.637893566,56.688261,36.161077,255.097175,75.470671,55.220671,2.183322,3.312482,0.65912,5,0,0,0.0,0.0,0,116.993394,02 Apr 15:00,31.108043,233.891868,17077.792225,2955.077521,3181.583541,2669.087496,2774.277689,2912.12171,2584.99867,26758.704556,4631.923357,4985.196084,4178.563069,4345.613571,4565.562146,4050.974111,135.131975,184.68629
4026,1,0,23,3.319128302,351.7755365,10.31422935,0.69783293,1,0.94975194,0.452832815,3.522384294,1.537976043,1.171357737,0.641163743,34.234251,21.94976,154.054127,46.414032,26.164032,0.96401,3.252746,0.296368,7,0,0,0.0,0.0,0,21.492751,28 Jun 17:00,27.819126,273.091576,3333.801756,481.727582,642.142905,695.204143,661.239232,505.671919,347.176549,5197.101173,750.951195,1001.141478,1083.695596,1030.827269,788.361544,541.132128,19.886898,35.278626
4027,1,1,65,3.472209436,290.888239,9.244734259,0.054125234,1,0.069818844,0.310818865,3.144452463,1.841247843,0.387507851,0.510089101,32.099654,16.373683,144.448441,41.601304,21.351304,1.041433,3.144452,0.331197,5,10,5,1.0,1.0,1,86.087735,29 Jun 15:00,46.061708,246.876803,3185.991406,466.614079,643.159687,630.462616,621.065074,490.870007,333.536933,6229.608995,910.34279,1259.464746,1234.765453,1216.169191,959.608268,648.714058,36.857523,71.813929
4028,0,1,45,5.417101843,320.7873539,13.01129978,0.853098712,1,0.599125478,0.36147519,3.62185062,2.828665351,1.267534382,0.402730547,70.483536,28.385873,317.175912,58.550849,38.300849,1.567479,3.621851,0.432784,5,10,5,1.0,1.0,1,124.871432,29 Jun 17:00,27.809777,273.011163,6176.29349,835.809241,1227.90314,1342.520838,1237.234924,947.507166,584.222681,24895.03131,3486.386373,4964.318681,5188.86375,4870.401177,3890.15729,2492.435668,43.244999,66.109015
